Comment,Designator,Footprint,LCSC,Quantity
CAN,CanBus1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical_smaller,,1
Conveyor,Conv1,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_smallerCourtyard",,1
STEP1,J17,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical_smaller,,1
Bus-Servo,Robot1,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,,1
DC IN,J4,BarrelJack_Horizontal,,1
Compressor,Comp1,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_smallerCourtyard",,1
STEP2,J18,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical_smaller,,1
Valve,Valve1,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal_smallerCourtyard",,1
Malibotti,Malibotti1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical_smaller,,1
PressureTransducer,Pressure1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical_smaller,,1
PE0,TP5,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
PD3,TP4,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
PA8,TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
TPS54202DDC,U12,SOT-23-6_Handsoldering,,1
